"TAXOCODE","X3A_CODE","Scientific_name","AphiaID","Match.type","ScientificName","AphiaID_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies","WoRMSname","English_name","ISSCAAP","CatchGroup","ByCatchGroup"
"1480600532","CKV","Coelorinchus oliverianus","280324","exact","Coelorinchus oliverianus","280324","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Coelorinchus","","oliverianus",,"Coelorinchus oliverianus","Hawknose grenadier","32","demersal",
"3074200405","YBO","Cymbium olla","141965","exact","Cymbium olla","141965","Animalia","Mollusca","Gastropoda","Neogastropoda","Volutidae","Cymbium","","olla",,"Cymbium olla","Olla volute","52","molluscs",
"1432100202","AZB","Chlopsis olokun","271717","exact","Chlopsis olokun","271717","Animalia","Chordata","Actinopterygii","Anguilliformes","Chlopsidae","Chlopsis","","olokun",,"Chlopsis olokun","","33","demersal",
"5620100702","WOT","Cygnus olor","159090","exact","Cygnus olor","159090","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","","olor",,"Cygnus olor","Mute swan",,"incidental by-catch","birds"
"1781901601","UCK","Ulcina olrikii","274356","exact","Ulcina olrikii","309268","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Ulcina","","olrikii",,"Ulcina olrikii","Arctic alligatorfish","33","demersal",
"1100400190","JAO","Raja olseni","298987","exact","Raja olseni","271556","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","","olseni",,"Raja olseni","Spreadfin skate","38","elasmobranchs",
"1570801301","PXO","Pachypanchax omalonotus","1020911","exact","Pachypanchax omalonotus","1020911","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Aplocheilidae",,"",,,"","","13","other",
"1732115301","LLI","Lobulogobius omanensis","281382","exact","Lobulogobius omanensis","281382","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lobulogobius","","omanensis",,"Lobulogobius omanensis","Oman goby","33","demersal",
"1080402402","TIO","Iago omanensis","220021","exact","Iago omanensis","220021","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Iago","","omanensis",,"Iago omanensis","Bigeye houndshark","38","elasmobranchs",
"3210200226","IAA","Sepia omani","342156","exact","Sepia omani","342156","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia","","omani",,"Sepia omani","Oman cuttlefish","57","molluscs",
"1590100101","PFO","Percopsis omiscomaycus","567538","exact","Percopsis omiscomaycus","567538","Animalia","Chordata","Actinopterygii","Percopsiformes","Percopsidae","Percopsis","","omiscomaycus",,"Percopsis omiscomaycus","Trout-perch","13","other",
"1571000301","LUO","Leptolucania ommata","1019841","exact","Leptolucania ommata","1019841","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Fundulidae",,"","ommata",,"","Pygmy killifish","13","other",
"1110200301","TND","Diplobatis ommata","280551","exact","Diplobatis ommata","280551","Animalia","Chordata","Elasmobranchii","Torpediniformes","Narcinidae","Diplobatis","","ommata",,"Diplobatis ommata","Ocellated electric ray","38","elasmobranchs",
"1380109401","LPO","Leptocharacidium omospilus","1011040","exact","Leptocharacidium omospilus","1011040","Animalia","Chordata","Actinopterygii","Characiformes",,,"",,,"","","13","other",
"1410400901","LMU","Liosomadoras oncinus","1022277","exact","Liosomadoras oncinus","1022277","Animalia","Chordata","Actinopterygii","Siluriformes",,,"",,,"","Jaguar catfish","13","other",
"1732124401","TMN","Tomiyamichthys oni","283008","exact","Tomiyamichthys oni","283008","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Tomiyamichthys","","oni",,"Tomiyamichthys oni","","33","demersal",
